Ticker,Quantity,Price,Date,TransactionType
PTON,1,29.490000,2020-01-03,BOUGHT
AAPL,1,72.468602,2020-01-03,BOUGHT
DIS,1,146.399994,2020-01-03,BOUGHT
TSLA,1,29.366667,2020-01-03,BOUGHT
PTON,1,29.490000,2020-01-03,BOUGHT
AAPL,1,72.468602,2020-01-03,BOUGHT
DIS,1,146.399994,2020-01-03,BOUGHT
TSLA,1,29.366667,2020-01-03,BOUGHT
PTON,1,29.490000,2020-01-03,BOUGHT
AAPL,1,72.468602,2020-01-03,BOUGHT
DIS,1,146.399994,2020-01-03,BOUGHT
TSLA,1,29.366667,2020-01-03,BOUGHT
PTON,1,29.490000,2020-01-03,BOUGHT
AAPL,1,72.468602,2020-01-03,BOUGHT
DIS,1,146.399994,2020-01-03,BOUGHT
TSLA,1,29.366667,2020-01-03,BOUGHT
PTON,1,29.490000,2020-01-03,BOUGHT
AAPL,1,72.468602,2020-01-03,BOUGHT
DIS,1,146.399994,2020-01-03,BOUGHT
TSLA,1,29.366667,2020-01-03,BOUGHT
CROX,1,41.970001,2020-01-06,BOUGHT
NKE,1,97.268989,2020-01-06,BOUGHT
GOOGL,1,67.581497,2020-01-06,BOUGHT
SPOT,1,151.490005,2020-01-06,BOUGHT
AAPL,5,71.649176,2020-01-06,SOLD
ADDYY,1,158.737997,2020-01-07,BOUGHT
AMZN,1,95.224998,2020-01-07,BOUGHT
AAPL,1,73.124639,2020-01-07,BOUGHT
ZM,1,70.290001,2020-01-07,BOUGHT
PTON,5,29.440001,2020-01-07,SOLD
TGT,1,114.956686,2020-01-08,BOUGHT
DAL,1,57.233445,2020-01-08,BOUGHT
COST,1,275.612310,2020-01-08,BOUGHT
LUV,1,52.336510,2020-01-08,BOUGHT
CROX,1,41.639999,2020-01-08,SOLD
AMZN,1,94.902000,2020-01-08,SOLD
AAPL,1,72.471053,2020-01-08,SOLD
NKE,1,97.615883,2020-01-08,SOLD
GOOGL,1,69.740997,2020-01-08,SOLD
SPOT,1,156.330002,2020-01-08,SOLD
DIS,5,145.490005,2020-01-08,SOLD
AEO,1,13.359541,2020-01-09,BOUGHT
SBUX,1,83.680104,2020-01-09,BOUGHT
NVDA,1,60.730553,2020-01-09,BOUGHT
CRM,1,178.839996,2020-01-09,BOUGHT
AEO,1,13.359541,2020-01-09,SOLD
CL,1,63.795761,2020-01-10,BOUGHT
CMG,1,866.000000,2020-01-10,BOUGHT
PINS,1,19.650000,2020-01-10,BOUGHT
LOGI,1,45.625925,2020-01-10,BOUGHT
ZM,1,73.080002,2020-01-10,SOLD
DAL,1,58.720030,2020-01-10,SOLD
LUV,1,52.989746,2020-01-10,SOLD
TSLA,5,32.119331,2020-01-10,SOLD
PTON,1,28.299999,2020-01-13,BOUGHT
HSY,1,137.858361,2020-01-13,BOUGHT
SHOP,1,43.499001,2020-01-13,BOUGHT
AMD,1,48.660000,2020-01-13,BOUGHT
ADDYY,1,166.100921,2020-01-13,SOLD
TGT,1,115.457110,2020-01-13,SOLD
COST,1,281.228954,2020-01-13,SOLD
SBUX,1,84.023194,2020-01-13,SOLD
CMG,1,856.130005,2020-01-13,SOLD
LOGI,1,45.511070,2020-01-13,SOLD
NKE,1,98.714320,2020-01-14,BOUGHT
HMC,1,25.851532,2020-01-14,BOUGHT
AXP,1,122.433661,2020-01-14,BOUGHT
MA,1,310.101130,2020-01-14,BOUGHT
CL,1,64.170862,2020-01-14,SOLD
AMD,1,48.639999,2020-01-14,SOLD
DIS,1,145.710007,2020-01-15,BOUGHT
MCD,1,190.265445,2020-01-15,BOUGHT
